# ============================================================================
# Et Futurum Requiem - Enhanced Book texture mapping (refined for Minecraft 1.7.10)
# ----------------------------------------------------------------------------
# SOURCE: Bibliophilia resource pack. The upstream data targets Minecraft 1.16.1
# and 1.21.x, so it is written around *modern* enchantment keys (Enchantment
# registry ids) and Fabric/Forge mod enchantments that mostly do not exist here.
# This file is the refined port: it keeps every texture, but the meaning of each
# line is defined for this mod:
#
#   Format:  <key>  TAB  <texture-sub-path>
#
#   <key>              Enchantment lookup key.
#                      * NO colon      -> a vanilla/backported enchantment, using
#                        the modern name this mod targets (e.g. harvest "digging"
#                        on 1.7.10 resolves to the "efficiency" entry here). The
#                        runtime match is done in EnchantedBookTextureHandler.
#                      * "modid:name"  -> third-party linkage: kept so that when a
#                        mod registers an enchantment whose name matches, the book
#                        uses that sprite automatically. Harmless when absent.
#
#   <texture-sub-path> Path of the sprite under assets/etfuturum/textures/items/.
#                      "vanilla/<name>" resolves to book_vanilla/<name>.png; any
#                      other "owner/<name>" (a third-party mod) resolves to
#                      book_mods/<owner>_<name>.png. The PNG files were renamed
#                      accordingly when unpacking Bibliophilia.
#
# [vanilla] section lists the full modern vanilla set (backport targets); only the
# ones actually registered (1.7.10 vanilla + frost_walker/mending/swift_sneak)
# are produced in-game. [mod] section is kept in full for auto linkage.
# ============================================================================

# ---------------- [vanilla] : modern vanilla/backported keys ----------------
aqua_affinity	vanilla/aqua_affinity
bane_of_arthropods	vanilla/bane_of_arthropods
binding_curse	vanilla/binding_curse
blast_protection	vanilla/blast_protection
breach	vanilla/breach
channeling	vanilla/channeling
density	vanilla/density
depth_strider	vanilla/depth_strider
efficiency	vanilla/efficiency
feather_falling	vanilla/feather_falling
fire_aspect	vanilla/fire_aspect
fire_protection	vanilla/fire_protection
flame	vanilla/flame
fortune	vanilla/fortune
frost_walker	vanilla/frost_walker
impaling	vanilla/impaling
infinity	vanilla/infinity
knockback	vanilla/knockback
looting	vanilla/looting
loyalty	vanilla/loyalty
luck_of_the_sea	vanilla/luck_of_the_sea
lunge	vanilla/lunge
lure	vanilla/lure
mending	vanilla/mending
multishot	vanilla/multishot
piercing	vanilla/piercing
power	vanilla/power
projectile_protection	vanilla/projectile_protection
protection	vanilla/protection
punch	vanilla/punch
respiration	vanilla/respiration
riptide	vanilla/riptide
sharpness	vanilla/sharpness
silk_touch	vanilla/silk_touch
smite	vanilla/smite
soul_speed	vanilla/soul_speed
sweeping_edge	vanilla/sweeping_edge
swift_sneak	vanilla/swift_sneak
thorns	vanilla/thorns
unbreaking	vanilla/unbreaking
vanishing_curse	vanilla/vanishing_curse
wind_burst	vanilla/wind_burst

# ---------------- [minecraft] : namespaced vanilla ----------------
minecraft:soul_fire_aspect	soulfired/soul_fire_aspect
minecraft:soul_flame	soulfired/soul_flame

# ---------------- [mod] : third-party linkage (auto-override) ----------------
aileron:cloudskipper	aileron/cloudskipper
aileron:smokestack	aileron/smokestack
allurement:alleviating	allurement/alleviating
allurement:ascension_curse	allurement/ascension_curse
allurement:fleeting_curse	allurement/fleeting_curse
allurement:launch	allurement/launch
allurement:obedience	allurement/obedience
allurement:reeling	allurement/reeling
allurement:reforming	allurement/reforming
allurement:shockwave	allurement/shockwave
allurement:spread_of_ailments	allurement/spread_of_ailments
allurement:vengeance	allurement/vengeance
apotheosis:capturing	apothic_enchanting/capturing
apotheosis:obliteration	apothic_enchanting/obliteration
apotheosis:splitting	apothic_enchanting/splitting
apothic_enchanting:bane_of_illagers	apothic_enchanting/bane_of_illagers
apothic_enchanting:berserkers_fury	apothic_enchanting/berserkers_fury
apothic_enchanting:chainsaw	apothic_enchanting/chainsaw
apothic_enchanting:chromatic	apothic_enchanting/chromatic
apothic_enchanting:growth_serum	apothic_enchanting/growth_serum
apothic_enchanting:icy_thorns	apothic_enchanting/icy_thorns
apothic_enchanting:life_mending	apothic_enchanting/life_mending
apothic_enchanting:magic_protection	apothic_enchanting/magic_protection
apothic_enchanting:miners_fervor	apothic_enchanting/miners_fervor
apothic_enchanting:mounted_strike	apothic_enchanting/mounted_strike
apothic_enchanting:natures_blessing	apothic_enchanting/natures_blessing
apothic_enchanting:rebounding	apothic_enchanting/rebounding
apothic_enchanting:scavenger	apothic_enchanting/scavenger
apothic_enchanting:shield_bash	apothic_enchanting/shield_bash
apothic_enchanting:spearfishing	apothic_enchanting/spearfishing
apothic_enchanting:stable_footing	apothic_enchanting/stable_footing
apothic_enchanting:tempting	apothic_enchanting/tempting
ars_elemental:mirror_shield	ars_elemental/mirror_shield
ars_elemental:soulbound	ars_elemental/soulbound
ars_nouveau:mana_boost	ars_nouveau/mana_boost
ars_nouveau:mana_regen	ars_nouveau/mana_regen
ars_nouveau:reactive	ars_nouveau/reactive
backpacked:funnelling	backpacked/funnelling
backpacked:imbued_hide	backpacked/imbued_hide
backpacked:looted	backpacked/looted
backpacked:marksman	backpacked/marksman
backpacked:repairman	backpacked/repairman
betterend:end_veil	betterend/end_veil
betternether:obsidian_breaker	betternether/obsidian_breaker
betternether:ruby_fire	betternether/ruby_fire
caverns_and_chasms:conceal	caverns_and_chasms/conceal
caverns_and_chasms:extending	caverns_and_chasms/extending
caverns_and_chasms:obscurity	caverns_and_chasms/obscurity
caverns_and_chasms:sky_set	caverns_and_chasms/sky_set
cenchants:aftershock	cenchants/aftershock
cenchants:antiheal	cenchants/antiheal
cenchants:barrage	cenchants/barrage
cenchants:bite	cenchants/bite
cenchants:combo	cenchants/combo
cenchants:darkness	cenchants/darkness
cenchants:deflect	cenchants/deflect
cenchants:dueling	cenchants/dueling
cenchants:fervor	cenchants/fervor
cenchants:flame_walker	cenchants/flame_walker
cenchants:frost	cenchants/frost
cenchants:grab	cenchants/grab
cenchants:hook	cenchants/hook
cenchants:hunter	cenchants/hunter
cenchants:inferno	cenchants/inferno
cenchants:inking	cenchants/inking
cenchants:inspire	cenchants/inspire
cenchants:knockup	cenchants/knockup
cenchants:lethality	cenchants/lethality
cenchants:lifeline	cenchants/lifeline
cenchants:lifesteal	cenchants/lifesteal
cenchants:lightweight	cenchants/lightweight
cenchants:perception	cenchants/perception
cenchants:rampage	cenchants/rampage
cenchants:rejuvenate	cenchants/rejuvenate
cenchants:self_destruct	cenchants/self_destruct
cenchants:shield_break	cenchants/shield_break
